Student ID,Name,Grade Level,Attendance,Academic Performance Math,Grade Math,Academic Performance English,Grade English,Academic Performance History,Grade History,Academic Performance Science,Grade Science,Extracurricular Activities,Learning Preferences,Social and Emotional Well-being,Recommendations
250,Student 250,9,99,A,F,A,B,A,D,A,F,['Chess Club'],Kinesthetic,4,To be generated
251,Student 251,12,100,D,C,D,D,B,D,D,A,['Music Band' 'Art Club'],Visual,4,To be generated
252,Student 252,12,78,F,A,F,A,B,D,D,B,['Art Club' 'Volunteer Club'],Visual,1,To be generated
253,Student 253,10,92,F,F,D,C,B,D,B,F,['Gardening Club'],Kinesthetic,7,To be generated
254,Student 254,11,90,C,C,C,B,D,C,B,A,['Language Club' 'Mathletes' 'Drama Club'],Visual,6,To be generated
255,Student 255,10,77,C,A,A,D,B,C,B,D,['Language Club'],Auditory,3,To be generated
256,Student 256,12,73,D,A,A,B,C,F,C,A,['Yearbook Committee'],Auditory,6,To be generated
257,Student 257,10,91,D,A,B,F,C,F,F,D,['Yearbook Committee' 'Mathletes'],Kinesthetic,2,To be generated
258,Student 258,12,97,F,F,F,C,A,F,B,F,['Soccer' 'Soccer' 'Chess Club'],Visual,2,To be generated
259,Student 259,9,82,C,F,B,C,D,C,D,F,['Music Band'],Auditory,9,To be generated
260,Student 260,9,73,B,D,A,C,D,F,F,F,['Volunteer Club' 'Science Club'],Visual,10,To be generated
261,Student 261,12,76,A,C,F,F,F,B,B,F,['Gardening Club'],Kinesthetic,5,To be generated
262,Student 262,10,90,F,D,D,D,B,A,A,D,['Yearbook Committee' 'Yearbook Committee' 'Robotics'],Visual,1,To be generated
263,Student 263,11,77,B,C,D,D,C,B,B,B,['Yearbook Committee' 'Music Band' 'Mathletes'],Visual,10,To be generated
264,Student 264,9,89,D,B,F,D,D,A,B,D,['Coding Club' 'Debate Team'],Visual,9,To be generated
265,Student 265,11,70,A,D,C,D,C,A,C,D,['Science Club' 'Gardening Club'],Auditory,5,To be generated
266,Student 266,12,75,D,A,D,D,C,D,C,A,['Yearbook Committee' 'Chess Club'],Auditory,8,To be generated
267,Student 267,12,97,C,B,B,A,B,F,B,A,['Language Club' 'Robotics' 'Language Club'],Kinesthetic,6,To be generated
268,Student 268,11,81,B,B,D,F,C,A,C,D,['Mathletes' 'Art Club' 'Chess Club'],Visual,8,To be generated
269,Student 269,12,100,A,B,D,C,A,D,A,C,['Soccer' 'Chess Club'],Visual,5,To be generated
270,Student 270,10,79,A,C,C,D,A,B,F,B,['Gardening Club' 'Volunteer Club' 'Volunteer Club'],Kinesthetic,4,To be generated
271,Student 271,10,89,D,F,D,D,D,D,F,F,['Volunteer Club' 'Art Club' 'Art Club'],Auditory,2,To be generated
272,Student 272,10,77,F,F,B,C,D,A,C,F,['Yearbook Committee'],Auditory,10,To be generated
273,Student 273,12,91,B,B,B,C,F,D,B,F,['Yearbook Committee' 'Mathletes' 'Soccer'],Auditory,2,To be generated
274,Student 274,11,75,A,F,B,A,C,D,A,A,['Volunteer Club'],Visual,9,To be generated
275,Student 275,9,98,A,A,A,F,D,B,A,A,['Drama Club' 'Mathletes'],Auditory,1,To be generated
276,Student 276,9,78,C,F,D,B,B,B,D,B,['Science Club'],Kinesthetic,7,To be generated
277,Student 277,10,81,B,C,D,A,D,A,C,B,['Robotics' 'Music Band' 'Drama Club'],Auditory,6,To be generated
278,Student 278,9,84,B,B,F,B,A,D,D,D,['Art Club' 'Robotics'],Visual,7,To be generated
279,Student 279,12,70,A,D,C,A,C,C,C,A,['Chess Club' 'Volunteer Club'],Visual,1,To be generated
280,Student 280,11,78,B,A,A,F,A,D,D,F,['Drama Club'],Visual,5,To be generated
281,Student 281,12,89,B,D,D,F,D,A,B,D,['Mathletes'],Visual,7,To be generated
282,Student 282,12,76,A,B,B,B,D,C,C,C,['Drama Club' 'Coding Club' 'Art Club'],Auditory,5,To be generated
283,Student 283,11,95,A,B,A,D,A,D,F,C,['Language Club'],Auditory,2,To be generated
284,Student 284,9,80,D,D,A,D,F,B,C,B,['Robotics' 'Gardening Club'],Kinesthetic,1,To be generated
285,Student 285,11,89,D,B,B,D,F,A,F,A,['Soccer' 'Science Club'],Visual,10,To be generated
286,Student 286,12,72,D,B,F,B,D,D,D,A,['Gardening Club' 'Yearbook Committee'],Auditory,5,To be generated
287,Student 287,11,97,D,B,D,D,F,B,D,C,['Language Club' 'Chess Club' 'Volunteer Club'],Auditory,4,To be generated
288,Student 288,11,93,B,F,C,C,A,A,B,B,['Language Club' 'Chess Club' 'Debate Team'],Visual,10,To be generated
289,Student 289,10,70,C,F,F,C,C,C,F,B,['Soccer'],Auditory,9,To be generated
290,Student 290,10,89,A,C,C,F,D,C,B,A,['Language Club' 'Coding Club' 'Robotics'],Auditory,4,To be generated
291,Student 291,12,96,A,D,C,B,B,A,A,A,['Yearbook Committee' 'Coding Club' 'Art Club'],Visual,8,To be generated
292,Student 292,12,84,F,A,D,D,F,B,F,C,['Art Club' 'Volunteer Club' 'Robotics'],Kinesthetic,8,To be generated
293,Student 293,9,70,C,D,A,C,F,C,C,F,['Basketball' 'Yearbook Committee' 'Soccer'],Kinesthetic,4,To be generated
294,Student 294,12,89,C,D,B,D,B,A,F,B,['Chess Club' 'Art Club' 'Soccer'],Kinesthetic,3,To be generated
295,Student 295,9,76,A,C,C,A,B,D,D,A,['Gardening Club' 'Mathletes' 'Language Club'],Kinesthetic,5,To be generated
296,Student 296,9,71,C,F,F,D,A,A,B,B,['Art Club'],Kinesthetic,8,To be generated
297,Student 297,11,82,F,A,D,F,A,A,A,F,['Language Club' 'Basketball'],Auditory,8,To be generated
298,Student 298,11,97,B,A,D,A,F,A,B,C,['Basketball' 'Debate Team' 'Volunteer Club'],Auditory,10,To be generated
299,Student 299,12,95,D,C,F,B,C,B,A,F,['Chess Club' 'Chess Club'],Auditory,7,To be generated
300,Student 300,10,88,F,B,C,D,A,F,D,C,['Art Club' 'Soccer' 'Music Band'],Kinesthetic,10,To be generated
301,Student 301,10,83,D,D,C,D,A,D,B,B,['Mathletes' 'Coding Club'],Auditory,8,To be generated
302,Student 302,9,79,A,D,C,A,D,B,C,D,['Basketball' 'Yearbook Committee'],Kinesthetic,10,To be generated
303,Student 303,12,74,B,A,F,F,D,A,C,B,['Yearbook Committee' 'Drama Club'],Auditory,2,To be generated
304,Student 304,9,95,F,D,C,F,A,D,B,D,['Mathletes'],Auditory,1,To be generated
305,Student 305,11,99,C,A,F,F,C,B,B,B,['Art Club'],Visual,2,To be generated
306,Student 306,12,97,B,F,D,B,F,C,A,F,['Chess Club'],Auditory,10,To be generated
307,Student 307,12,87,F,F,F,A,B,D,B,C,['Coding Club' 'Music Band'],Kinesthetic,9,To be generated
308,Student 308,10,73,B,A,B,C,A,F,A,B,['Basketball' 'Music Band' 'Science Club'],Visual,10,To be generated
309,Student 309,12,72,A,C,A,B,C,F,B,A,['Gardening Club' 'Mathletes' 'Robotics'],Visual,9,To be generated
310,Student 310,10,90,C,D,A,F,C,D,B,C,['Basketball' 'Yearbook Committee'],Auditory,2,To be generated
311,Student 311,12,83,D,A,B,F,C,D,F,F,['Yearbook Committee' 'Basketball' 'Debate Team'],Kinesthetic,8,To be generated
312,Student 312,11,95,D,C,F,D,A,A,A,B,['Robotics' 'Debate Team'],Visual,5,To be generated
313,Student 313,9,85,D,F,A,B,A,A,D,C,['Art Club' 'Art Club' 'Mathletes'],Auditory,2,To be generated
314,Student 314,10,93,F,D,B,A,C,A,C,A,['Basketball' 'Debate Team' 'Drama Club'],Auditory,9,To be generated
315,Student 315,10,74,B,D,C,F,C,D,A,C,['Drama Club'],Visual,1,To be generated
316,Student 316,12,79,C,F,B,C,A,F,B,B,['Gardening Club'],Kinesthetic,3,To be generated
317,Student 317,12,100,C,B,A,D,F,C,C,A,['Debate Team'],Auditory,7,To be generated
318,Student 318,12,74,F,A,F,A,A,F,B,B,['Soccer' 'Science Club'],Auditory,5,To be generated
319,Student 319,10,87,C,C,F,A,D,A,D,D,['Gardening Club' 'Music Band' 'Gardening Club'],Auditory,6,To be generated
320,Student 320,10,88,C,C,F,A,C,B,A,C,['Science Club' 'Basketball' 'Mathletes'],Kinesthetic,7,To be generated
321,Student 321,10,83,B,B,A,D,F,F,A,A,['Basketball' 'Coding Club'],Kinesthetic,1,To be generated
322,Student 322,12,100,B,C,C,C,B,A,B,B,['Art Club' 'Drama Club'],Auditory,7,To be generated
323,Student 323,12,83,B,C,F,F,A,D,B,D,['Science Club' 'Basketball'],Auditory,10,To be generated
324,Student 324,11,93,F,D,D,D,C,C,A,B,['Robotics' 'Language Club'],Kinesthetic,5,To be generated
325,Student 325,11,72,F,A,C,D,A,B,B,B,['Yearbook Committee' 'Mathletes' 'Mathletes'],Auditory,8,To be generated
326,Student 326,11,73,F,D,B,C,B,F,A,C,['Soccer' 'Drama Club' 'Chess Club'],Auditory,2,To be generated
327,Student 327,9,79,C,F,D,A,A,A,F,C,['Language Club'],Kinesthetic,9,To be generated
328,Student 328,12,96,D,D,C,F,F,F,D,D,['Drama Club' 'Mathletes'],Visual,6,To be generated
329,Student 329,12,93,C,B,A,B,B,C,A,C,['Chess Club' 'Yearbook Committee' 'Coding Club'],Visual,9,To be generated
330,Student 330,10,96,B,A,D,A,D,B,D,A,['Coding Club'],Auditory,6,To be generated
331,Student 331,11,92,D,B,C,A,D,F,D,D,['Coding Club' 'Yearbook Committee' 'Music Band'],Kinesthetic,6,To be generated
332,Student 332,12,92,A,A,C,C,C,C,F,C,['Soccer'],Auditory,1,To be generated
333,Student 333,10,82,D,A,C,B,D,B,A,F,['Gardening Club'],Auditory,8,To be generated
334,Student 334,12,85,B,A,C,F,A,F,B,A,['Art Club'],Auditory,9,To be generated
335,Student 335,12,72,B,C,F,F,F,A,B,B,['Coding Club'],Visual,6,To be generated
336,Student 336,10,96,B,D,D,F,D,C,A,A,['Robotics' 'Language Club' 'Soccer'],Visual,1,To be generated
337,Student 337,10,89,B,C,C,C,C,A,A,A,['Art Club' 'Language Club'],Auditory,8,To be generated
338,Student 338,10,76,A,C,B,B,A,C,D,A,['Language Club' 'Drama Club' 'Debate Team'],Kinesthetic,9,To be generated
339,Student 339,9,84,D,D,C,B,C,A,D,F,['Language Club'],Visual,7,To be generated
340,Student 340,11,86,A,B,F,A,C,A,C,A,['Drama Club'],Kinesthetic,1,To be generated
341,Student 341,11,99,C,A,D,D,F,F,D,F,['Yearbook Committee' 'Drama Club'],Kinesthetic,1,To be generated
342,Student 342,9,98,D,B,D,B,F,F,A,F,['Soccer' 'Science Club' 'Gardening Club'],Kinesthetic,10,To be generated
343,Student 343,10,85,C,B,C,F,C,A,C,C,['Mathletes' 'Art Club'],Auditory,5,To be generated
344,Student 344,10,96,C,F,C,F,C,C,D,F,['Basketball' 'Music Band'],Visual,6,To be generated
345,Student 345,9,78,C,C,B,D,D,F,B,F,['Music Band' 'Art Club' 'Drama Club'],Kinesthetic,5,To be generated
346,Student 346,12,70,B,A,D,D,D,F,D,D,['Volunteer Club' 'Art Club' 'Debate Team'],Auditory,2,To be generated
347,Student 347,9,80,D,D,D,A,B,A,D,F,['Volunteer Club' 'Art Club'],Auditory,4,To be generated
348,Student 348,9,81,F,B,D,A,F,C,D,A,['Music Band' 'Coding Club'],Auditory,5,To be generated
349,Student 349,12,83,D,F,A,C,D,A,D,B,['Coding Club'],Kinesthetic,7,To be generated
350,Student 350,11,77,B,F,D,F,C,D,F,F,['Mathletes' 'Drama Club'],Kinesthetic,10,To be generated
351,Student 351,10,100,D,B,D,C,D,A,A,F,['Debate Team' 'Mathletes'],Auditory,10,To be generated
352,Student 352,11,76,B,B,B,F,B,C,C,C,['Debate Team'],Visual,1,To be generated
353,Student 353,10,83,D,F,B,C,D,F,A,C,['Chess Club'],Auditory,5,To be generated
354,Student 354,11,91,D,C,F,A,C,F,D,A,['Robotics'],Kinesthetic,2,To be generated
355,Student 355,9,100,C,F,B,B,D,B,B,D,['Music Band'],Visual,2,To be generated
356,Student 356,11,85,A,F,D,D,D,A,C,F,['Drama Club' 'Basketball'],Visual,2,To be generated
357,Student 357,9,79,D,F,D,F,F,F,A,B,['Art Club' 'Coding Club' 'Soccer'],Visual,10,To be generated
358,Student 358,10,76,F,C,D,A,F,D,B,F,['Gardening Club' 'Drama Club'],Auditory,7,To be generated
359,Student 359,10,91,A,C,B,A,B,F,D,D,['Music Band'],Visual,7,To be generated
360,Student 360,10,81,F,C,C,A,B,D,B,D,['Basketball' 'Volunteer Club' 'Yearbook Committee'],Visual,2,To be generated
361,Student 361,9,88,D,D,A,C,D,F,A,B,['Soccer' 'Soccer' 'Mathletes'],Kinesthetic,4,To be generated
362,Student 362,12,77,B,D,F,D,F,F,C,A,['Soccer' 'Yearbook Committee'],Auditory,4,To be generated
363,Student 363,9,98,D,D,C,A,F,C,A,F,['Mathletes' 'Science Club' 'Drama Club'],Visual,7,To be generated
364,Student 364,12,71,C,D,A,C,D,F,B,F,['Yearbook Committee' 'Gardening Club'],Visual,5,To be generated
365,Student 365,9,79,B,A,B,A,F,D,B,C,['Volunteer Club' 'Soccer' 'Language Club'],Kinesthetic,5,To be generated
366,Student 366,9,72,F,A,F,C,A,C,A,A,['Coding Club' 'Music Band'],Kinesthetic,2,To be generated
367,Student 367,9,88,D,A,F,B,C,F,A,B,['Chess Club' 'Coding Club'],Visual,5,To be generated
368,Student 368,9,98,D,B,B,C,A,C,A,F,['Music Band' 'Coding Club'],Visual,4,To be generated
369,Student 369,10,84,B,A,C,F,A,F,B,D,['Chess Club' 'Mathletes' 'Robotics'],Visual,6,To be generated
370,Student 370,12,75,D,B,A,D,A,B,F,A,['Music Band'],Visual,5,To be generated
371,Student 371,12,97,A,F,D,C,F,C,A,D,['Drama Club'],Auditory,1,To be generated
372,Student 372,9,92,F,A,D,D,D,D,D,D,['Coding Club'],Visual,2,To be generated
373,Student 373,12,74,D,C,A,C,B,B,B,F,['Debate Team'],Auditory,2,To be generated
374,Student 374,11,99,D,D,D,D,C,F,F,B,['Yearbook Committee' 'Gardening Club' 'Gardening Club'],Auditory,2,To be generated
375,Student 375,11,88,B,B,C,B,C,F,C,B,['Basketball' 'Mathletes'],Visual,8,To be generated
376,Student 376,10,98,C,F,B,F,A,B,F,B,['Soccer' 'Gardening Club'],Visual,9,To be generated
377,Student 377,10,84,F,A,D,F,B,A,C,F,['Chess Club' 'Robotics' 'Soccer'],Kinesthetic,3,To be generated
378,Student 378,10,99,A,D,B,F,D,B,F,C,['Robotics' 'Debate Team'],Auditory,6,To be generated
379,Student 379,11,88,A,C,D,C,B,D,B,B,['Language Club'],Auditory,3,To be generated
380,Student 380,10,71,B,F,D,F,B,F,D,D,['Music Band' 'Mathletes'],Visual,4,To be generated
381,Student 381,10,82,A,C,F,A,C,C,B,D,['Chess Club' 'Yearbook Committee' 'Mathletes'],Visual,1,To be generated
382,Student 382,9,70,C,A,D,A,F,A,F,C,['Gardening Club'],Visual,8,To be generated
383,Student 383,10,79,D,B,F,F,A,C,F,A,['Science Club'],Visual,4,To be generated
384,Student 384,11,86,F,F,A,F,F,B,C,F,['Mathletes' 'Debate Team'],Kinesthetic,10,To be generated
385,Student 385,10,72,D,A,D,C,C,F,A,F,['Volunteer Club' 'Drama Club'],Visual,5,To be generated
386,Student 386,10,78,B,A,D,F,B,D,B,D,['Basketball'],Kinesthetic,2,To be generated
387,Student 387,9,89,D,B,D,D,A,B,C,B,['Coding Club' 'Basketball'],Visual,7,To be generated
388,Student 388,9,99,C,B,F,B,D,B,F,B,['Yearbook Committee'],Visual,5,To be generated
389,Student 389,10,80,A,A,D,C,D,C,F,C,['Chess Club' 'Debate Team'],Auditory,7,To be generated
390,Student 390,10,86,F,B,C,C,B,C,A,A,['Volunteer Club'],Visual,2,To be generated
391,Student 391,11,96,C,F,A,A,F,F,B,B,['Art Club' 'Drama Club' 'Soccer'],Auditory,9,To be generated
392,Student 392,12,97,B,B,B,C,F,C,F,B,['Mathletes'],Auditory,2,To be generated
393,Student 393,12,94,F,F,B,C,A,A,D,D,['Art Club' 'Science Club'],Visual,1,To be generated
394,Student 394,10,94,D,A,F,B,C,F,A,B,['Music Band'],Kinesthetic,3,To be generated
395,Student 395,12,71,B,D,A,D,F,D,A,F,['Yearbook Committee' 'Debate Team'],Auditory,2,To be generated
396,Student 396,12,70,D,A,A,B,D,A,C,B,['Science Club' 'Language Club' 'Art Club'],Visual,9,To be generated
397,Student 397,12,75,C,A,B,D,D,B,C,B,['Robotics'],Kinesthetic,6,To be generated
398,Student 398,11,94,C,A,F,A,D,C,C,A,['Coding Club'],Auditory,10,To be generated
399,Student 399,11,72,B,F,C,B,F,D,F,F,['Yearbook Committee'],Auditory,6,To be generated
400,Student 400,10,85,A,D,A,B,B,F,A,C,['Language Club' 'Basketball' 'Gardening Club'],Auditory,9,To be generated
